Week,Game ID,Field Type,Stadium Type,Weather Temperature,Weather Condition,Weather Wind Speed,Team,Opponent,Location,Player Name,Position,Rushing Attempts,Rushing Yards,Rushing TD,Receiving Targets,Receptions,Receiving Yards,Receiving TD,Total TD,Fumbles,Pass Attempts,Pass Completions,Passing Yards,Passing TD,Interceptions
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Byron Maxwell,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Cliff Avril,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Kam Chancellor,SAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Jimmy Staten,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,D'Anthony Smith,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,DeShawn Shead,DB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Earl Thomas,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Jon Ryan,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Justin Britt,OT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Tony McDaniel,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Jordan Hill,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Jeremy Lane,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Anthony McCoy,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Josh Aubrey,DB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Brandon Mebane,DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Malcolm Smith,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Jermaine Kearse,WR,0,0,0,3,1,8,0,0,0,0,0,0,0,0
1,1,artificial,outdoor,73,Sunny,11,Seahawks,GB,Home,Michael Bennett,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
