Conference,Division,Team,Game Type,Week,Venue,Venue Capacity,Venue Surface,Venue Type,Temperature,Weather Condition,Humidity,Wind Speed,Wind Direction,Total First Downs,Passing First Downs,Rushing First Downs,Penalty First Downs,Third Down Attempts,Third Down Conversions,Third Down Conversion %,Third Down Passing Conversions,Third Down Rushing Conversions,Third Down Penalty Conversions,Fourth Down Attempts,Fourth Down Conversions,Fourth Down Conversion %,Fourth Down Passing Conversions,Fourth Down Rushing Conversions,Fourth Down Penalty Conversions,Total Plays,Total Yards,Yards per Play,Rushing Plays,Rushing Yards,Rushing Yards per Play,Passing Plays,Passing Completions,Passing Yards per Play,Interceptions,Sacks,Net Passing Yards,Gross Passing Yards,Sack Yards,Total Return Yards,Punt Returns,Punt Return Yards,Kick-off Returns,Kick-off Return Yards,Interception Returns,Interception Return Yards,Kick-offs,Kick-offs in Endzone,Touchbacks,Punts,Average Punt Yards,Punts Blocked,Average Net Punt Yards,Penalties,Penalty Yards,Fumbles,Fumbles Lost,Total TD,Passing TD,Rushing TD,Interception TD,Fumble TD,Punt Return TD,Kick-off Return TD,Field Goal Return TD,Extra Point Attempts,Extra Points Made,Extra Points Blocked,Two-Point Conversion Attempts,Two-Point Conversions Made,Field Goal Attempts,Field Goals Made,Field Goals Blocked,Redzone Visits,Redzone TD,Redzone Efficiency,Goal-to-go Attempts,Goal-to-go TD,Goal-to-go Efficiency,Safeties,Turnovers,Points Scored,Time of Possesion,Win / Loss
NFC,NFC West,SEA,REG,1,CenturyLink Field,67000,artificial,outdoor,73,Sunny,50,11,WNW,25,8,13,4,11,4,36.364,2,2,0,1,1,100,1,0,0,66,398,6.03,37,207,5.595,28,19,6.586,0,1,191,191,0,24,2,3,3,60,1,21,7,7,3,2,33,0,33,4,69,2,1,4,2,2,0,0,0,0,0,4,4,0,0,0,2,2,0,5,3,60,3,2,66.667,0,1,36,33:20,W
NFC,NFC North,GB,REG,1,CenturyLink Field,67000,artificial,outdoor,73,Sunny,50,11,WNW,19,13,4,2,12,6,50,5,1,0,1,0,0,0,0,0,57,255,4.474,21,80,3.81,33,23,4.861,1,3,175,189,14,0,0,0,4,89,0,0,5,4,2,4,38.25,0,37.5,8,65,1,0,2,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,3,2,66.667,3,2,66.667,1,1,16,26:40,L
NFC,NFC South,ATL,REG,1,Georgia Dome,74228,artificial,dome,84,Overcast ,62,4,N,28,21,6,1,11,6,54.545,4,2,0,0,0,0,0,0,0,69,568,8.232,25,123,4.92,43,31,10.114,0,1,445,448,3,1,1,1,1,21,1,0,6,6,5,3,52.333,0,45.667,10,96,1,1,4,3,1,0,0,0,0,0,4,4,0,0,0,3,3,0,3,3,100,2,2,100,0,1,37,31:18,W
NFC,NFC South,NO,REG,1,Georgia Dome,74228,artificial,dome,84,Overcast ,62,4,N,30,17,9,4,13,8,61.538,8,0,0,0,0,0,0,0,0,70,472,6.743,28,139,4.964,42,29,7.929,1,0,333,333,0,0,0,0,1,34,0,0,7,7,6,2,50.5,0,50,3,27,1,1,4,1,3,0,0,0,0,0,4,4,0,0,0,2,2,0,6,4,66.667,4,4,100,0,2,34,30:25,L
AFC,AFC East,MIA,REG,1,Sun Life Stadium,76100,turf,outdoor,90,Partly Cloudy ,59,16,SE,25,10,11,4,13,7,53.846,4,3,0,0,0,0,0,0,0,71,360,5.07,38,191,5.026,32,18,5.121,1,1,169,178,9,24,3,24,3,75,0,0,8,7,5,2,50,0,42.5,4,26,3,2,3,2,1,0,0,0,0,0,3,3,0,0,0,4,4,0,6,3,50,3,2,66.667,0,3,33,30:27,W
AFC,AFC East,NE,REG,1,Sun Life Stadium,76100,turf,outdoor,90,Partly Cloudy ,59,16,SE,20,12,7,1,17,5,29.412,2,3,0,4,2,50,1,1,0,80,315,3.938,20,89,4.45,56,29,3.767,0,4,226,249,23,15,2,15,3,77,1,0,5,4,2,5,40.167,1,36.167,9,100,3,2,2,1,1,0,0,0,0,0,2,2,0,0,0,2,2,0,2,2,100,2,2,100,0,2,20,29:33,L
NFC,NFC East,PHI,REG,1,Lincoln Financial Field,68532,turf,outdoor,75,Partly Cloudy ,50,8,N,24,14,7,3,19,8,42.105,6,2,0,1,1,100,0,1,0,82,420,5.122,32,145,4.531,45,27,5.5,1,5,275,322,47,62,4,62,1,24,0,0,7,7,5,6,38.333,0,33.667,6,50,3,2,4,2,1,0,1,0,0,0,4,4,0,0,0,2,2,0,2,0,0,1,0,0,0,3,34,30:46,W
AFC,AFC South,JAC,REG,1,Lincoln Financial Field,68532,turf,outdoor,75,Partly Cloudy ,50,8,N,18,14,2,2,14,2,14.286,2,0,0,1,0,0,0,0,0,71,306,4.31,25,64,2.56,43,24,5.261,0,3,242,266,24,28,3,28,2,36,1,0,4,4,3,8,46.5,0,38.75,7,55,1,1,2,2,0,0,0,0,0,0,2,2,0,0,0,3,1,1,1,0,0,0,0,0,0,1,17,29:14,L
AFC,AFC East,NYJ,REG,1,MetLife Stadium,82500,artificial,outdoor,77,Sunny,47,8,NE,20,9,10,1,12,5,41.667,2,3,0,0,0,0,0,0,0,65,402,6.185,34,212,6.235,29,23,6.129,1,2,190,221,31,15,2,15,2,65,0,0,5,4,2,5,44.2,0,38.8,11,105,2,1,2,1,1,0,0,0,0,0,1,1,0,1,0,2,2,0,4,1,25,1,0,0,0,2,19,34:50,W
AFC,AFC West,OAK,REG,1,MetLife Stadium,82500,artificial,outdoor,77,Sunny,47,8,NE,11,7,2,2,12,3,25,2,1,0,0,0,0,0,0,0,49,158,3.224,15,25,1.667,32,20,3.912,0,2,133,151,18,9,1,7,3,67,1,2,3,2,0,9,44.556,0,40.667,4,20,1,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,100,0,0,0,0,0,14,25:10,L
